stage1,stage2,dataset,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,ppv,npv,f1,mcc,fn_per_1000,tp,fp,tn,fn
cql_sens_opt,guardrails,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
cql_sens_opt,logreg_tfidf,physician_n41,0.7407,0.5532,0.8683,0.6429,0.3876,0.8366,0.8,0.5625,0.7692,0.3729,170.73,20,5,9,7
cql_sens_opt,xgboost_sbert,physician_n41,0.7407,0.5532,0.8683,0.9286,0.6853,0.9873,0.9524,0.65,0.8333,0.635,170.73,20,1,13,7
gemini_3_1_pro_safety,actionhead,physician_n41,0.2222,0.1061,0.4076,0.8571,0.6006,0.9599,0.75,0.3636,0.3429,0.095,512.2,6,2,12,21
gemini_3_1_pro_safety,claude_opus_4_7_safety,physician_n41,0.2963,0.1585,0.4848,0.8571,0.6006,0.9599,0.8,0.3871,0.4324,0.1694,463.41,8,2,12,19
gemini_3_1_pro_safety,constellation,physician_n41,0.2222,0.1061,0.4076,0.8571,0.6006,0.9599,0.75,0.3636,0.3429,0.095,512.2,6,2,12,21
gemini_3_1_pro_safety,cql_reward_opt,physician_n41,0.2963,0.1585,0.4848,0.8571,0.6006,0.9599,0.8,0.3871,0.4324,0.1694,463.41,8,2,12,19
gemini_3_1_pro_safety,cql_sens_opt,physician_n41,0.2222,0.1061,0.4076,0.8571,0.6006,0.9599,0.75,0.3636,0.3429,0.095,512.2,6,2,12,21
gemini_3_1_pro_safety,guardrails,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
gemini_3_1_pro_safety,logreg_tfidf,physician_n41,0.2963,0.1585,0.4848,0.8571,0.6006,0.9599,0.8,0.3871,0.4324,0.1694,463.41,8,2,12,19
gemini_3_1_pro_safety,xgboost_sbert,physician_n41,0.2963,0.1585,0.4848,0.9286,0.6853,0.9873,0.8889,0.4062,0.4444,0.2576,463.41,8,1,13,19
guardrails,actionhead,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
guardrails,claude_opus_4_7_safety,physician_n41,0.0741,0.0206,0.2337,0.9286,0.6853,0.9873,0.6667,0.3421,0.1333,0.0048,609.76,2,1,13,25
guardrails,constellation,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
guardrails,cql_reward_opt,physician_n41,0.0741,0.0206,0.2337,0.9286,0.6853,0.9873,0.6667,0.3421,0.1333,0.0048,609.76,2,1,13,25
guardrails,cql_sens_opt,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
guardrails,gemini_3_1_pro_safety,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
guardrails,logreg_tfidf,physician_n41,0.0741,0.0206,0.2337,0.9286,0.6853,0.9873,0.6667,0.3421,0.1333,0.0048,609.76,2,1,13,25
